Vardas         Pavarde             ND1            ND2            ND3            ND4            ND5            ND6            ND7            ND8            ND9            ND10           ND11           ND12           ND13           ND14           ND15           Egz.           
Vardas168      Pavarde168          7              8              9              1              10             6              6              3              9              10             4              1              7              2              2              3              
Vardas169      Pavarde169          1              2              4              4              9              6              5              1              7              5              8              2              9              1              2              2              
Vardas170      Pavarde170          5              6              9              4              10             1              6              4              3              2              10             4              5              6              10             4              
Vardas171      Pavarde171          1              6              5              2              1              2              5              8              7              8              10             5              4              4              8              10             
Vardas172      Pavarde172          2              2              9              1              3              10             2              8              2              9              7              5              1              2              3              8              
Vardas173      Pavarde173          6              9              10             3              3              7              3              8              3              7              7              2              6              7              5              7              
Vardas174      Pavarde174          4              7              1              5              4              7              3              1              8              10             2              9              5              3              7              9              
Vardas175      Pavarde175          2              5              5              7              9              5              2              8              1              10             6              7              6              10             1              9              
Vardas176      Pavarde176          2              3              4              6              5              6              3              1              7              7              2              3              6              3              5              5              
Vardas177      Pavarde177          2              3              1              9              4              1              8              4              2              9              6              5              9              7              1              5              
Vardas178      Pavarde178          1              3              6              6              8              8              3              3              6              3              7              8              10             4              3              1              
Vardas179      Pavarde179          9              9              2              7              5              6              9              6              1              4              6              2              10             4              9              4              
Vardas180      Pavarde180          9              5              2              5              8              1              9              4              2              5              5              10             1              5              1              8              
Vardas181      Pavarde181          10             5              2              10             9              2              7              10             9              4              9              3              8              6              7              1              
Vardas182      Pavarde182          2              5              10             5              2              5              9              2              6              8              3              5              10             1              4              9              
Vardas183      Pavarde183          3              1              5              2              6              8              7              2              8              7              10             6              5              3              5              5              
Vardas184      Pavarde184          3              4              9              2              5              9              10             5              9              3              6              3              1              5              9              8              
Vardas185      Pavarde185          5              9              6              6              10             8              9              3              8              5              1              7              1              3              8              10             
Vardas186      Pavarde186          10             2              3              9              5              8              9              5              7              7              6              6              4              4              5              4              
Vardas187      Pavarde187          2              8              8              9              2              10             3              7              10             7              7              4              6              1              8              1              
Vardas188      Pavarde188          5              8              5              4              8              1              9              4              9              10             2              7              9              5              4              5              
Vardas189      Pavarde189          1              1              2              9              9              5              9              3              4              9              1              1              10             1              10             4              
Vardas190      Pavarde190          7              8              2              8              4              6              2              1              1              9              9              9              3              5              9              1              
Vardas191      Pavarde191          1              9              1              7              5              2              8              1              8              5              10             10             6              1              8              2              
Vardas192      Pavarde192          8              7              5              7              3              2              1              1              10             4              9              9              5              3              6              2              
Vardas193      Pavarde193          2              10             10             8              6              5              1              5              3              7              10             4              10             2              3              7              
Vardas194      Pavarde194          10             9              9              7              7              6              2              10             5              4              1              7              1              7              8              2              
Vardas195      Pavarde195          3              1              5              3              9              8              7              3              9              9              1              3              7              2              7              10             
Vardas196      Pavarde196          8              10             3              2              2              1              7              8              9              1              7              10             7              5              2              7              
Vardas197      Pavarde197          6              10             4              10             4              7              8              10             10             10             2              5              7              2              10             7              
Vardas198      Pavarde198          5              4              3              5              1              4              7              1              2              1              7              2              9              9              2              9              
Vardas199      Pavarde199          7              3              2              2              7              6              8              4              5              7              7              4              8              5              9              10             
Vardas200      Pavarde200          5              2              8              10             8              1              2              5              9              4              5              5              5              1              7              8              
Vardas201      Pavarde201          9              7              5              5              6              8              1              1              10             6              10             2              1              2              5              6              
Vardas202      Pavarde202          8              2              7              10             4              10             3              3              7              8              6              1              4              3              3              9              
Vardas203      Pavarde203          6              1              5              5              8              2              4              6              7              6              9              3              8              2              5              8              
Vardas204      Pavarde204          8              4              7              7              8              4              2              1              10             3              7              3              10             7              1              8              
Vardas205      Pavarde205          3              9              5              6              6              6              3              4              6              10             8              10             6              2              3              8              
Vardas206      Pavarde206          3              5              1              8              5              10             5              8              8              4              1              3              8              5              8              2              
Vardas207      Pavarde207          1              5              10             4              2              4              3              7              2              10             6              5              6              4              10             8              
Vardas208      Pavarde208          7              9              10             10             6              2              5              4              7              9              2              10             4              3              10             2              
Vardas209      Pavarde209          1              1              4              3              4              3              4              6              5              2              2              10             9              7              2              7              
Vardas210      Pavarde210          4              2              7              8              5              5              4              9              3              1              4              10             7              8              9              8              
Vardas211      Pavarde211          3              3              3              9              2              4              10             6              1              2              7              4              10             9              3              5              
Vardas212      Pavarde212          5              2              7              3              3              3              5              8              1              9              2              6              7              10             7              4              
Vardas213      Pavarde213          3              2              7              1              3              4              3              9              1              5              2              6              6              7              9              2              
Vardas214      Pavarde214          4              10             6              2              7              9              10             9              6              8              6              8              8              3              4              10             
Vardas215      Pavarde215          5              9              10             10             2              4              9              3              3              2              4              1              3              6              3              2              
Vardas216      Pavarde216          7              7              8              10             10             5              4              3              8              7              10             9              6              7              2              10             
Vardas217      Pavarde217          5              3              6              5              1              6              4              6              6              1              7              5              4              5              10             5              
Vardas218      Pavarde218          1              10             5              10             9              2              1              2              10             4              4              9              9              2              8              10             
Vardas219      Pavarde219          8              1              1              3              7              8              7              8              8              10             7              5              6              7              6              2              
Vardas220      Pavarde220          7              4              8              2              2              5              1              4              3              7              5              9              9              8              3              2              
Vardas221      Pavarde221          8              1              8              2              5              9              10             5              10             9              7              10             7              6              6              9              
Vardas222      Pavarde222          7              7              2              7              7              9              4              10             10             7              10             10             3              10             2              8              
Vardas223      Pavarde223          7              5              3              2              4              8              2              6              4              10             1              3              7              5              5              1              
Vardas224      Pavarde224          10             6              8              5              10             8              7              9              4              3              10             2              1              9              10             8              
Vardas225      Pavarde225          8              10             10             10             5              3              8              3              5              5              5              1              6              3              1              8              
Vardas226      Pavarde226          6              3              4              4              7              3              2              5              8              6              10             9              6              3              9              9              
Vardas227      Pavarde227          2              8              5              4              10             1              4              5              10             2              7              8              4              9              9              3              
Vardas228      Pavarde228          7              4              7              6              6              10             3              5              1              8              9              2              5              10             3              3              
Vardas229      Pavarde229          10             3              9              4              8              4              7              7              6              10             3              10             9              9              10             6              
Vardas230      Pavarde230          2              5              2              7              4              4              1              4              2              7              9              2              8              8              2              2              
Vardas231      Pavarde231          10             8              10             1              5              3              4              1              8              1              9              8              10             3              9              4              
Vardas232      Pavarde232          7              3              2              10             4              8              2              2              5              2              5              4              2              3              7              7              
Vardas233      Pavarde233          9              1              10             1              6              4              4              6              2              7              5              5              3              10             10             7              
Vardas234      Pavarde234          6              7              9              8              3              1              8              3              7              9              9              6              5              2              8              3              
Vardas235      Pavarde235          2              2              3              2              5              2              4              7              8              4              5              8              10             2              3              2              
Vardas236      Pavarde236          9              2              2              2              4              4              9              4              4              4              10             3              9              9              3              7              
Vardas237      Pavarde237          8              7              9              1              4              5              3              2              6              1              1              7              5              3              1              3              
Vardas238      Pavarde238          1              3              3              1              10             7              8              4              8              9              5              8              3              5              4              3              
Vardas239      Pavarde239          5              2              9              3              3              5              8              1              10             6              5              5              6              1              7              5              
Vardas240      Pavarde240          1              6              7              1              5              10             4              2              3              10             1              6              4              2              8              9              
Vardas241      Pavarde241          2              1              5              4              1              4              6              3              1              5              10             5              6              6              3              7              
Vardas242      Pavarde242          8              5              3              8              7              7              3              6              5              10             9              3              4              3              2              8              
Vardas243      Pavarde243          8              2              2              5              8              5              4              4              5              1              1              1              1              5              5              2              
Vardas244      Pavarde244          1              8              6              6              2              7              1              1              5              1              8              7              2              7              7              4              
Vardas245      Pavarde245          9              8              2              6              3              6              9              7              1              8              5              9              9              4              4              1              
Vardas246      Pavarde246          8              9              7              7              6              1              8              9              3              7              4              8              4              5              1              4              
Vardas247      Pavarde247          4              6              10             8              3              4              4              8              10             9              5              7              3              6              9              8              
Vardas248      Pavarde248          4              4              10             1              9              1              4              1              3              10             2              5              7              2              7              1              
Vardas249      Pavarde249          1              6              3              4              8              8              2              6              5              7              7              5              4              10             2              7              
Vardas250      Pavarde250          5              1              5              9              5              6              1              9              8              2              8              3              2              9              6              3              
Vardas251      Pavarde251          5              5              4              8              4              6              2              6              7              5              4              8              6              4              10             4              
Vardas252      Pavarde252          1              2              7              6              10             6              7              10             7              3              5              2              10             4              8              10             
Vardas253      Pavarde253          6              3              2              10             10             3              4              7              6              6              2              7              6              4              4              3              
Vardas254      Pavarde254          6              4              8              6              6              8              7              1              4              10             7              4              4              6              1              9              
Vardas255      Pavarde255          4              9              5              6              9              4              4              7              3              5              1              1              7              2              6              8              
Vardas256      Pavarde256          10             4              7              6              3              5              9              3              10             4              7              5              1              5              2              6              
Vardas257      Pavarde257          6              4              5              6              6              4              2              4              3              6              8              9              5              2              2              9              
Vardas258      Pavarde258          4              1              6              6              9              3              10             8              8              8              3              3              4              8              9              6              
Vardas259      Pavarde259          10             6              8              2              5              9              1              6              10             3              3              5              6              3              5              6              
Vardas260      Pavarde260          8              7              7              6              3              6              6              7              7              3              2              8              10             2              9              4              
Vardas261      Pavarde261          4              6              8              8              3              10             8              9              9              2              1              1              4              8              2              3              
Vardas262      Pavarde262          8              3              2              4              8              4              2              9              9              10             6              8              2              4              9              10             
Vardas263      Pavarde263          6              7              6              4              10             1              9              10             5              7              6              6              3              1              6              1              
Vardas264      Pavarde264          6              7              8              10             10             6              1              6              1              3              9              5              4              9              2              4              
Vardas265      Pavarde265          10             8              5              1              3              10             4              1              6              5              8              2              7              5              1              10             
Vardas266      Pavarde266          3              8              1              8              10             8              5              3              7              10             9              3              9              8              10             4              
Vardas267      Pavarde267          10             4              7              5              3              2              9              2              6              9              6              9              4              4              9              6              
Vardas268      Pavarde268          9              8              8              7              9              6              3              2              4              2              10             10             7              1              10             8              
Vardas269      Pavarde269          10             4              4              6              1              7              6              7              1              10             9              8              7              8              8              9              
Vardas270      Pavarde270          9              4              1              7              4              9              8              1              3              10             9              6              4              8              9              7              
Vardas271      Pavarde271          8              5              3              5              1              7              5              2              4              5              1              5              10             4              9              7              
Vardas272      Pavarde272          2              5              7              8              4              6              2              5              3              3              8              10             5              3              5              2              
Vardas273      Pavarde273          4              3              7              9              6              2              10             2              2              4              10             1              8              4              3              2              
Vardas274      Pavarde274          8              2              7              2              5              6              3              5              10             1              6              5              5              6              9              2              
Vardas275      Pavarde275          2              10             5              2              2              1              4              6              10             10             10             6              7              9              9              1              
Vardas276      Pavarde276          8              1              4              5              4              8              9              1              8              2              5              2              2              4              4              5              
Vardas277      Pavarde277          4              7              3              1              3              3              8              7              2              9              8              7              7              1              7              2              
Vardas278      Pavarde278          6              4              9              4              10             1              7              7              4              2              9              3              4              4              8              9              
Vardas279      Pavarde279          2              9              4              1              6              1              7              7              7              2              8              7              2              8              4              7              
Vardas280      Pavarde280          10             1              5              8              3              5              3              5              5              6              6              8              6              10             10             10             
Vardas281      Pavarde281          7              8              8              4              4              10             4              9              9              1              5              9              9              2              2              8              
Vardas282      Pavarde282          3              4              3              10             5              10             3              1              6              10             4              1              10             5              3              2              
Vardas283      Pavarde283          7              9              7              3              7              10             3              10             8              10             2              6              5              3              10             1              
Vardas284      Pavarde284          4              7              6              8              8              7              3              5              5              5              4              2              5              6              3              3              
Vardas285      Pavarde285          7              3              10             7              5              5              6              7              2              2              6              4              2              7              9              5              
Vardas286      Pavarde286          9              10             7              4              1              6              9              3              9              7              4              5              8              2              1              6              
Vardas287      Pavarde287          6              9              9              6              5              5              7              6              5              8              9              7              8              5              1              3              
Vardas288      Pavarde288          1              1              5              1              4              9              1              3              6              2              1              2              6              5              10             8              
Vardas289      Pavarde289          3              7              1              10             7              8              6              10             3              3              1              1              7              5              6              3              
Vardas290      Pavarde290          7              10             2              5              5              1              10             10             5              8              3              4              3              7              8              4              
Vardas291      Pavarde291          4              7              3              7              10             3              4              3              7              7              5              10             5              7              9              4              
Vardas292      Pavarde292          1              3              5              10             9              8              4              2              7              5              3              3              6              7              1              8              
Vardas293      Pavarde293          2              5              2              9              8              1              10             10             4              2              2              1              2              9              2              4              
Vardas294      Pavarde294          9              1              9              2              10             4              2              2              9              7              2              7              10             3              2              7              
Vardas295      Pavarde295          1              3              1              1              5              10             6              6              7              8              5              6              10             4              8              10             
Vardas296      Pavarde296          3              10             3              5              3              1              1              10             9              1              8              5              4              7              7              1              
Vardas297      Pavarde297          1              6              3              9              7              3              5              2              8              8              9              9              1              1              5              4              
Vardas298      Pavarde298          9              5              1              9              8              9              9              6              8              1              10             1              1              1              10             8              
Vardas299      Pavarde299          10             5              7              10             4              3              9              5              6              2              3              6              3              6              6              9              
Vardas300      Pavarde300          1              1              5              8              6              8              8              8              9              9              8              1              4              6              2              3              
Vardas301      Pavarde301          3              3              3              8              1              10             3              2              9              3              8              1              4              2              2              10             
Vardas302      Pavarde302          1              10             2              7              2              4              1              8              6              9              3              1              4              5              2              10             
Vardas303      Pavarde303          7              2              6              8              8              4              9              5              8              10             9              9              9              10             5              7              
Vardas304      Pavarde304          4              3              4              3              7              3              5              10             7              5              7              8              6              4              8              3              
Vardas305      Pavarde305          10             10             6              1              8              2              2              1              8              1              2              6              3              2              2              4              
Vardas306      Pavarde306          3              3              1              4              1              4              3              9              7              2              7              1              9              8              7              8              
Vardas307      Pavarde307          9              1              4              5              5              4              4              9              9              7              8              10             3              2              5              7              
Vardas308      Pavarde308          7              3              2              6              1              3              2              6              8              9              4              2              8              8              6              3              
Vardas309      Pavarde309          5              6              3              6              5              8              8              8              6              10             5              10             5              7              2              9              
Vardas310      Pavarde310          10             10             5              8              4              3              5              3              5              3              9              9              9              5              4              5              
Vardas311      Pavarde311          4              10             9              9              2              10             4              4              5              3              8              1              8              8              2              7              
Vardas312      Pavarde312          10             4              1              7              9              8              2              3              9              10             3              7              7              6              4              9              
Vardas313      Pavarde313          5              9              10             8              3              8              10             2              6              7              8              5              9              9              3              3              
Vardas314      Pavarde314          2              7              5              5              8              9              4              1              4              6              6              6              8              3              5              9              
Vardas315      Pavarde315          1              6              10             4              7              1              1              2              4              8              9              5              4              4              10             10             
Vardas316      Pavarde316          9              5              3              10             8              5              5              6              4              6              8              4              9              6              1              6              
Vardas317      Pavarde317          2              4              6              1              1              4              1              6              1              6              6              8              8              6              1              10             
Vardas318      Pavarde318          10             9              1              1              5              6              6              10             7              5              5              8              3              8              6              1              
Vardas319      Pavarde319          7              1              7              7              10             4              10             7              7              2              10             7              6              9              7              9              
Vardas320      Pavarde320          1              4              10             2              9              3              2              7              3              7              3              4              9              4              1              4              
Vardas321      Pavarde321          4              10             1              9              2              10             2              2              9              8              2              7              2              8              1              9              
Vardas322      Pavarde322          10             6              4              8              5              7              2              2              10             9              10             6              4              2              9              4              
Vardas323      Pavarde323          1              2              8              10             1              10             7              10             3              10             10             8              2              5              6              5              
Vardas324      Pavarde324          8              1              6              6              9              1              6              6              4              7              8              5              8              4              9              8              
Vardas325      Pavarde325          8              8              10             10             9              2              9              5              1              9              7              6              3              8              6              2              
Vardas326      Pavarde326          5              4              1              10             5              9              7              8              6              10             8              6              7              2              3              2              
Vardas327      Pavarde327          2              6              5              1              1              10             2              2              2              10             4              5              7              5              2              9              
Vardas328      Pavarde328          3              1              4              8              3              5              8              9              9              4              3              5              2              5              8              5              
Vardas329      Pavarde329          6              9              4              9              9              10             1              9              2              4              1              6              9              8              6              8              
Vardas330      Pavarde330          3              7              4              3              6              6              3              5              9              10             7              4              8              3              6              10             
Vardas331      Pavarde331          9              10             2              8              9              3              6              2              9              9              6              9              10             9              7              6              
